arm_nn_activation_s16
arm_relu_q15
arm_concatenation_s8_w
arm_convolve_1_x_n_s8
arm_convolve_1x1_s8_fast
arm_convolve_s16
arm_depthwise_conv_3x3_s8
arm_depthwise_conv_fast_s16
arm_depthwise_conv_s16
arm_depthwise_conv_s8_opt
arm_elementwise_add_s16
arm_elementwise_mul_s16
arm_batch_matmul_s16
arm_fully_connected_per_channel_s8
arm_fully_connected_s16
arm_vector_sum_s8
arm_avgpool_s16
arm_max_pool_s16
arm_reshape_s8
arm_softmax_s16
arm_svdf_state_s16_s8
arm_transpose_s8
